"Vehicle_ID","Recall_Number","Category","Make_Name","Model_Name"
"3116",2020159,"Car","HYUNDAI","ELANTRA"
"3124",2020233,"SUV","HYUNDAI","VERACRUZ"
"3125",2020233,"SUV","HYUNDAI","SANTA FE"
"3126",2020233,"SUV","HYUNDAI","VERACRUZ"
"3127",2020233,"SUV","HYUNDAI","SANTA FE"
"3128",2020233,"SUV","HYUNDAI","VERACRUZ"
"3129",2020233,"SUV","HYUNDAI","SANTA FE"
"3130",2020233,"SUV","HYUNDAI","VERACRUZ"
"3131",2020233,"SUV","HYUNDAI","SANTA FE"
"3132",2020233,"SUV","HYUNDAI","VERACRUZ"
"3133",2020233,"SUV","HYUNDAI","SANTA FE"
"3134",2020233,"SUV","HYUNDAI","SANTA FE"
"3135",2020233,"SUV","HYUNDAI","VERACRUZ"
"3311",2020549,"SUV","HYUNDAI","VERACRUZ"
"3312",2020549,"SUV","HYUNDAI","VERACRUZ"
"3313",2020549,"SUV","HYUNDAI","VERACRUZ"
"3314",2020549,"SUV","HYUNDAI","VERACRUZ"
"3315",2020549,"SUV","HYUNDAI","VERACRUZ"
"3316",2020549,"SUV","HYUNDAI","VERACRUZ"
"3393",2020592,"Car","HYUNDAI","SONATA"
"3394",2020592,"SUV","HYUNDAI","SONATA"
"3395",2020592,"SUV","HYUNDAI","SONATA"
"3396",2020592,"Car","HYUNDAI","SONATA"
"3397",2020592,"SUV","HYUNDAI","SANTA FE"
"3398",2020592,"Car","HYUNDAI","SANTA FE"
"3399",2020592,"Car","HYUNDAI","SONATA"
"3400",2020592,"SUV","HYUNDAI","SONATA"
"3401",2020592,"SUV","HYUNDAI","VELOSTER"
"3402",2020592,"Car","HYUNDAI","VELOSTER"
"3403",2020592,"SUV","HYUNDAI","VELOSTER"
"3404",2020592,"Car","HYUNDAI","SONATA"
"3405",2020592,"Car","HYUNDAI","VELOSTER"
"3406",2020592,"SUV","HYUNDAI","SONATA"
"3450",2020648,"SUV","HYUNDAI","TUCSON"
"3451",2020648,"SUV","HYUNDAI","TUCSON"
"3452",2020648,"SUV","HYUNDAI","TUCSON"
"3453",2020648,"SUV","HYUNDAI","TUCSON"
"3454",2020648,"SUV","HYUNDAI","TUCSON"
"3455",2020648,"SUV","HYUNDAI","TUCSON"
